,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
0,0.000954,Silver Side Up,Nickelback,1.0,0.574,0.447,0.7659999999999999,0.0,10.0,0.113,-5.065,223826.0,How You Remind Me,56.0,0.0313,172.011,4.0,73000000.0
1,0.0137,No One Knows (International Version),Queens of the Stone Age,1.0,0.687,0.518,0.5379999999999999,0.000398,0.0,0.141,-5.818,255066.0,No One Knows,13.0,0.0486,170.953,4.0,128000000.0
2,0.0102,Come Clean (Repackaged International Version),Puddle Of Mudd,0.0,0.495,0.44,0.932,0.0,3.0,0.142,-4.488,303920.0,Blurry,28.0,0.0584,157.438,4.0,82000000.0
3,0.000194,ONE BY ONE,Foo Fighters,1.0,0.674,0.5820000000000001,0.597,0.000273,5.0,0.517,-5.671,262733.0,All My Life,11.0,0.0512,167.738,4.0,84000000.0
4,0.000917,"Echoes, Silence, Patience & Grace",Foo Fighters,1.0,0.365,0.433,0.959,0.0,9.0,0.028,-4.04,269373.0,The Pretender,11.0,0.0431,172.984,4.0,457000000.0
5,0.000153,How To Dismantle An Atomic Bomb,U2,1.0,0.6829999999999999,0.391,0.831,0.00192,2.0,0.141,-3.892,194520.0,Vertigo,57.0,0.0613,139.946,4.0,59000000.0
6,0.0983,WUT WUT,Dillon Francis,1.0,0.634,0.83,0.4970000000000001,0.0,1.0,0.0906,-6.94,185282.0,White Boi,59.0,0.052000000000000005,127.965,4.0,4400000.0
7,0.716,Pa Mí,Dalex,0.0,0.6459999999999999,0.722,0.584,0.000321,11.0,0.115,-8.467,210865.0,Pa Mí,58.0,0.318,169.97799999999995,4.0,414000000.0
8,0.107,Banana Clip (Spanish Version),Miguel,0.0,0.7190000000000001,0.398,0.66,0.0,1.0,0.121,-5.626,202373.0,Banana Clip - Spanish Version,57.0,0.12,83.82799999999997,4.0,5700000.0
9,0.00397,NICE GIRLS FINISH LAST: CUIDADO,BIA,0.0,0.158,0.812,0.748,0.0,5.0,0.174,-5.959,162733.0,YAKWTFGO (feat. Kali Uchis),44.0,0.139,132.035,4.0,2200000.0
10,0.0526,no kap,Kap G,1.0,0.34600000000000003,0.659,0.7340000000000001,2.48e-06,10.0,0.242,-4.008,157461.0,Come With Me,47.0,0.046,161.971,4.0,80000.0
11,0.232,Como Si Na,Melii,0.0,0.7090000000000001,0.705,0.778,0.0,9.0,0.244,-4.101,170997.0,Como Si Na,54.0,0.177,160.099,4.0,57000000.0
12,0.0255,Blah,Mariah,0.0,0.777,0.723,0.687,0.000207,11.0,0.124,-4.632,188440.0,Blah,47.0,0.2,173.747,4.0,5600000.0
13,0.902,Chiquito,Cuco,1.0,0.129,0.465,0.675,0.267,10.0,0.11,-7.555,272000.0,Mi Infinita,56.0,0.0485,119.941,4.0,1400000.0
14,0.5710000000000001,Pastel,Katzù Oso,1.0,0.594,0.632,0.652,0.85,4.0,0.194,-10.558,174000.0,Coqueta,49.0,0.0302,115.031,4.0,32000.0
15,0.0857,Nuestro Planeta (feat. Reykon),Kali Uchis,0.0,0.415,0.871,0.545,0.000499,0.0,0.0756,-6.466,202754.0,Nuestro Planeta (feat. Reykon),52.0,0.0625,96.035,4.0,6700000.0
16,0.0749,Pum Pum,Sammi Sanchez,0.0,0.611,0.736,0.906,0.000123,4.0,0.12,-1.49,185743.0,Pum Pum,45.0,0.0566,93.013,4.0,255000.0
17,0.00245,Quiero Saber,Jesse Baez,0.0,0.599,0.695,0.818,3.36e-06,6.0,0.305,-5.532,166253.0,Quiero Saber,52.0,0.0482,102.976,4.0,3000000.0
18,0.00323,Como,Kim Viera,1.0,0.65,0.5429999999999999,0.847,0.0,9.0,0.0551,-3.574,234373.0,Como,38.0,0.0659,92.046,4.0,26000000.0
19,0.271,Anywhere Contigo,Breakfast n Vegas,1.0,0.823,0.841,0.841,2.6e-05,9.0,0.108,-4.288,193846.0,Anywhere Contigo,46.0,0.0633,104.01,4.0,347000.0
20,0.425,No Gratis,Messiah,1.0,0.952,0.777,0.546,0.0,7.0,0.0809,-9.504,208800.0,No Gratis,44.0,0.207,147.173,4.0,4000000.0
21,0.0797,Summer With Friends,DaniLeigh,1.0,0.7609999999999999,0.825,0.481,0.0,2.0,0.239,-8.6,198386.0,All Day,45.0,0.0396,121.046,4.0,2400000.0
22,0.235,Just As I Am,Spiff TV,0.0,0.708,0.682,0.7509999999999999,0.0,8.0,0.11,-5.812,224413.0,Just As I Am,53.0,0.0675,129.937,4.0,5600000.0
23,0.006940000000000001,Nice & Slow,Nina Sky,0.0,0.6970000000000001,0.799,0.616,0.00237,5.0,0.28300000000000003,-4.599,218448.0,Nice & Slow,38.0,0.0415,127.023,4.0,36000000.0
24,0.108,Don't Werk,Paula DeAnda,1.0,0.435,0.703,0.617,5.610000000000002e-05,7.0,0.271,-8.732000000000001,133120.0,Don't Werk,39.0,0.0731,123.159,4.0,37000000.0
25,0.0079,Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,1.0,0.621,0.493,0.825,0.0,8.0,0.129,-4.056,215003.0,Nuestra Cancion Pt. 2 (feat. Arcángel),46.0,0.0798,99.866,4.0,16000000.0
26,0.0429,La Hora Loca,Jackie Cruz,0.0,0.76,0.836,0.725,0.0,7.0,0.108,-5.445,175239.0,La Hora Loca,44.0,0.0571,126.035,4.0,152000.0
27,0.00436,Dinero (English Version),Trinidad Cardona,0.0,0.451,0.701,0.779,0.0,11.0,0.121,-4.657,161093.0,Dinero - English Version,37.0,0.0647,119.974,4.0,4900000.0
28,0.149,Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,0.0,0.62,0.871,0.563,0.0,10.0,0.0568,-8.329,182224.0,Pum Pum (feat. Kap G & Play-N-Skillz),53.0,0.0795,91.998,4.0,8000000.0
29,0.133,GOOD MAN (Deluxe),Ne-Yo,1.0,0.421,0.494,0.7290000000000001,0.0,2.0,0.14300000000000002,-4.934,204453.0,NIGHTS LIKE THESE,59.0,0.161,78.833,4.0,1800000.0
30,0.0199,Alright,Anthony Ramos,1.0,0.294,0.561,0.58,0.0,5.0,0.0619,-5.612,229038.0,Alright,43.0,0.0414,84.98,4.0,3100000.0
31,0.369,Insecure,Amara La Negra,0.0,0.546,0.483,0.685,0.0,10.0,0.0817,-3.232,191906.0,Insecure,53.0,0.174,185.502,4.0,7000000.0
32,0.0762,Si Una Vez [(If I Once)[Spanglish Version]],Play-N-Skillz,1.0,0.404,0.62,0.823,3.13e-05,5.0,0.112,-2.436,237860.0,Si Una Vez - (If I Once)[Spanglish Version],54.0,0.0567,175.921,4.0,32000000.0
33,0.586,Belong To U,Fancy Cars,1.0,0.489,0.633,0.765,6.890000000000001e-05,1.0,0.0966,-5.732,202574.0,Belong To U,44.0,0.0474,100.934,4.0,20000.0
34,0.569,South Beach Social Club,Salaam Remi,1.0,0.836,0.853,0.7140000000000001,0.0101,7.0,0.0716,-6.1770000000000005,167823.0,Sunny Daze,40.0,0.0767,92.375,4.0,113000.0
35,0.0652,"Uno Más Remix Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez",N.O.R.E.,1.0,0.813,0.8,0.8370000000000001,4.52e-05,7.0,0.0699,-4.488,241135.0,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41.0,0.099,105.026,4.0,251000.0
36,0.118,Island,Lil Eddie,0.0,0.434,0.743,0.7929999999999999,6.07e-05,2.0,0.227,-5.032,194011.0,Island,37.0,0.0546,109.921,4.0,28000000.0
37,0.159,Sean Kingston,Sean Kingston,1.0,0.708,0.745,0.6659999999999999,0.0,9.0,0.302,-5.899,241933.0,Beautiful Girls,10.0,0.0566,129.995,4.0,729000000.0
38,0.00611,Greatest Hits...So Far!!!,P!nk,1.0,0.625,0.701,0.7,0.0,7.0,0.0295,-4.934,203306.0,Raise Your Glass,54.0,0.0876,122.035,4.0,219000000.0
39,0.0411,Greatest Hits - Chapter One,Kelly Clarkson,1.0,0.682,0.555,0.923,0.0,0.0,0.112,-5.908,221920.0,Stronger (What Doesn't Kill You),52.0,0.0482,116.012,4.0,384000000.0
40,0.0251,Caught Up,Usher,1.0,0.746,0.815,0.8079999999999999,5.37e-06,6.0,0.12,-4.614,224946.0,Caught Up,31.0,0.0511,110.063,4.0,30000000.0
41,0.327,Bandits (Motion Picture Soundtrack),Five For Fighting,1.0,0.181,0.521,0.431,0.0,0.0,0.0986,-9.74,222000.0,Superman (It's Not Easy),48.0,0.0293,106.546,4.0,71000000.0
42,0.439,Mi Vida Es Cantar,Celia Cruz,1.0,0.843,0.82,0.7170000000000001,0.00107,8.0,0.236,-6.191,275253.0,La Vida Es Un Carnaval,24.0,0.0722,104.005,4.0,68000000.0
43,0.0838,Mi Sangre,Juanes,0.0,0.973,0.7509999999999999,0.731,0.0,6.0,0.0556,-4.419,216706.0,La Camisa Negra,29.0,0.0308,97.007,4.0,140000000.0
44,0.141,The Very Best Of Gloria Estefan (English Version),Miami Sound Machine,1.0,0.8590000000000001,0.782,0.8740000000000001,0.0584,2.0,0.112,-7.157,252933.0,Conga,59.0,0.0474,123.179,4.0,21000000.0
45,0.833,Celia,Celia Cruz,1.0,0.905,0.7440000000000001,0.601,0.0242,10.0,0.131,-5.2410000000000005,199316.0,Guantanamera,58.0,0.0349,143.542,4.0,4400000.0
46,0.0306,Los Fabulosos Cadillacs - El Matador,Los Fabulosos Cadillacs,0.0,0.638,0.5660000000000001,0.911,0.0247,4.0,0.0574,-9.458,277600.0,El Matador,11.0,0.0791,193.538,4.0,100000000.0
47,0.743,Anthology,Tito Puente,1.0,0.963,0.696,0.728,0.0537,7.0,0.0835,-6.937,272546.0,Oye Como Va,56.0,0.034,124.092,4.0,6000000.0
48,0.414,!Volare! The Very Best of the Gipsy Kings,Gipsy Kings,0.0,0.933,0.6709999999999999,0.884,0.00015,6.0,0.0701,-9.267,203173.0,Bamboleo,54.0,0.0586,119.574,4.0,13000000.0
49,0.337,Mambo No 5,Pérez Prado,0.0,0.8170000000000001,0.816,0.416,0.7909999999999999,5.0,0.0452,-17.795,162213.0,Mambo No 5,52.0,0.244,90.148,4.0,6200000.0
50,0.00487,Originales - 20 Exitos,Soda Stereo,1.0,0.76,0.542,0.7140000000000001,0.298,2.0,0.334,-8.045,212893.0,De Música Ligera,51.0,0.028,124.26,4.0,61000000.0
51,0.0699,Just Another Band From East L.A.: A Collection,Los Lobos,1.0,0.8859999999999999,0.348,0.7509999999999999,0.0007379999999999999,0.0,0.208,-12.823,172733.0,La Bamba,57.0,0.0494,156.509,4.0,47000000.0
52,0.318,SIMPLEMENTE AMIGOS,Juan Gabriel,1.0,0.43,0.522,0.526,0.0,2.0,0.116,-6.3610000000000015,319560.0,Querida,4.0,0.0259,90.02,4.0,177000000.0
53,0.0485,Ultimate Santana,Santana,1.0,0.6629999999999999,0.779,0.631,0.00316,2.0,0.0349,-5.314,262160.0,Maria Maria - Radio Mix,56.0,0.115,97.927,4.0,350000000.0
54,0.0151,Latin Explosion,Pitbull,1.0,0.8109999999999999,0.815,0.757,5.260000000000001e-05,2.0,0.187,-5.351,238680.0,I Know You Want Me (Calle Ocho),7.0,0.165,127.052,4.0,75000000.0
55,0.112,32 Cañonazos,Joe Arroyo,0.0,0.778,0.5589999999999999,0.73,0.00267,10.0,0.263,-8.461,378373.0,Rebelión,43.0,0.0639,106.806,4.0,8800000.0
56,0.652,Cuba Classics 1: Silvio Rodriguez,Silvio Rodríguez,0.0,0.4370000000000001,0.555,0.331,1.16e-05,9.0,0.235,-17.718,351400.0,La Maza,58.0,0.27,170.60299999999995,3.0,25000000.0
57,0.445,Mis Favoritas,Rocío Dúrcal,1.0,0.386,0.301,0.335,0.00181,0.0,0.7509999999999999,-8.564,408440.0,Amor Eterno,59.0,0.0303,176.59099999999995,4.0,80000000.0
58,0.701,"Boleros para Enamorarse, Vol. 2",Consuelo Velázquez,0.0,0.843,0.7070000000000001,0.408,0.0,5.0,0.105,-12.776,181960.0,Besame Mucho,7.0,0.0366,126.399,4.0,5000000.0
59,0.491,Foursider,Sergio Mendes & Brasil '66,0.0,0.914,0.66,0.504,2.65e-05,0.0,0.15,-13.087,159466.0,Mais Que Nada,52.0,0.0496,88.95299999999996,4.0,27000000.0
60,0.422,El Cantante de los Cantantes,Héctor Lavoe,0.0,0.6579999999999999,0.489,0.679,6.92e-06,7.0,0.13,-4.899,622520.0,El Cantante,58.0,0.0326,95.813,4.0,58000000.0
61,0.83,Buena Vista Social Club,Buena Vista Social Club,0.0,0.701,0.507,0.423,0.00916,2.0,0.0973,-14.187,257213.0,Chan Chan,7.0,0.0332,82.809,4.0,20000000.0
62,0.259,Inolvidables,Roberto Carlos,0.0,0.898,0.613,0.489,0.0,11.0,0.0696,-13.509,208866.0,Amigo,41.0,0.0503,145.278,4.0,19000000.0
